,pk_1,pk_2,pk_3,pk_4,pk_5,data_1,data_2
213,196,10320,22,11007,100012839,48,2340.19
214,196,10322,22,11007,100012839,497,24351.4
215,196,10349,22,11007,100012839,9,651.37
216,196,10350,22,11007,100012839,21,1566.91
217,196,10308,22,11007,100012839,98,4805.1
218,196,10334,22,11007,100012839,124,6024.78
219,196,10335,22,11007,100012839,25,1197.97
220,236,1582,22,11007,100012839,26,546.17
221,236,1583,22,11007,100012839,38,799.35
222,236,1584,22,11007,100012839,50,1052.04
223,236,1559,22,11007,100012839,12,251.8
224,240,1077,22,11007,100012839,36,803.46
225,236,1011,22,11013,100012911,13,128.36
226,236,1012,22,11013,100012911,22,217.02
227,236,1015,22,11013,100012911,16,157.76
228,236,1016,22,11013,100012911,7,68.99
229,236,1026,22,11013,100012911,23,226.89
230,236,1028,22,11013,100012911,17,168.08
231,236,1039,22,11013,100012911,12,117.87
232,236,1040,22,11013,100012911,17,167.13
233,236,1043,22,11013,100012911,11,108.4
234,236,1044,22,11013,100012911,6,58.25
235,236,1058,22,11013,100012911,625,6152.14
236,236,1119,22,11013,100012911,10,98.19
237,236,1120,22,11013,100012911,12,118.18
238,236,1121,22,11013,100012911,12,118.26
239,236,1122,22,11013,100012911,11,108.58
240,236,1381,22,11013,100012911,14,138.37
241,236,1383,22,11013,100012911,11,108.4
242,236,1384,22,11013,100012911,5,49.41
243,236,1385,22,11013,100012911,7,68.64
244,236,1386,22,11013,100012911,5,49.39
245,244,10071,22,11013,100012911,141,987.46
246,244,10081,22,11013,100012911,78,548.74
247,244,10082,22,11013,100012911,36,248.04
248,196,10298,22,11013,100012911,4440,76024.46
249,196,10299,22,11013,100012911,95,1635.68
250,196,10300,22,11013,100012911,70,1222.99
251,196,10301,22,11013,100012911,26,951.27
252,196,10310,22,11013,100012911,12,448.23
253,196,10319,22,11013,100012911,29,502.72
254,196,10320,22,11013,100012911,7,129.42
255,196,10322,22,11013,100012911,126,2175.43
256,196,10350,22,11013,100012911,16,590.0
257,196,10308,22,11013,100012911,28,483.06
258,196,10334,22,11013,100012911,28,482.29
259,196,10335,22,11013,100012911,21,549.05
260,236,1582,22,11013,100012911,10,98.88
261,236,1583,22,11013,100012911,21,207.17
262,236,1584,22,11013,100012911,11,104.65
263,236,1011,22,11044,100013109,1,16.65
264,236,1012,22,11044,100013109,7,114.06
265,236,1015,22,11044,100013109,5,83.45
266,236,1026,22,11044,100013109,9,146.85
267,236,1028,22,11044,100013109,7,113.53
268,236,1058,22,11044,100013109,246,3970.72
269,236,1381,22,11044,100013109,3,50.02
270,236,1383,22,11044,100013109,4,65.77
271,236,1386,22,11044,100013109,8,131.26
272,236,1582,22,11044,100013109,1,16.44
273,236,1583,22,11044,100013109,8,130.01
274,236,1026,22,11007,100016151,195,3380.36
275,236,1028,22,11007,100016151,168,2918.7
276,236,1040,22,11007,100016151,48,823.32
277,236,1044,22,11007,100016151,19,326.76
278,236,1058,22,11007,100016151,6676,117715.73
279,236,1119,22,11007,100016151,42,724.24
280,236,1120,22,11007,100016151,26,451.45
281,236,1121,22,11007,100016151,153,2677.17
282,236,1122,22,11007,100016151,35,599.27
283,236,1384,22,11007,100016151,20,350.22
284,236,1385,22,11007,100016151,56,968.09
