pk_5,count
102994274,9
114722377,9
116213763,9
101847788,9
114281149,9
116738572,9
107025470,9
107025751,9
122734209,9
101847770,9
102122307,9
101786721,9
107025569,8
122791086,8
101345916,8
107025785,8
103118591,8
107025496,8
122297138,8
122887776,8
119426385,8
108235413,8
107024838,8
122293213,8
108661722,8
107025595,8
103310360,8
114740146,8
112481690,8
113456069,8
122731830,8
101735496,8
120603002,8
101870814,8
102459387,8
122078541,8
113523354,8
121773661,8
113104637,8
107025306,8
116227594,8
112462785,8
120800630,8
122353712,8
101950731,8
101820058,8
102318368,8
101041341,8
122759042,8
101847762,8
101067866,8
107024994,7
115753373,7
109286917,7
112362616,7
105321912,7
107025405,7
122353747,7
101950616,7
118199407,7
122134050,7
101495265,7
122633685,7
107025322,7
112769198,7
101790798,7
101870897,7
119282588,7
108667356,7
101892818,7
122353526,7
104138677,7
112767748,7
107025587,7
122147079,7
115752609,7
122492097,7
114847739,7
118659270,7
101015699,7
121774145,7
115752439,7
109289444,7
114740739,6
120725558,6
107025264,6
109589510,6
107025884,6
120602952,6
120697473,6
120806590,6
114740618,6
102699787,6
109589308,6
101515690,6
114866611,6
115753012,6
116306289,6
101609857,6
107024762,6
107025041,6
107025314,6
101488401,6
107024853,6
109289533,6
101112332,6
107024952,6
107024812,6
107025330,6
116377294,6
100011099,6
114739695,6
107025736,6
109289150,6
122635742,6
107025678,6
120808305,6
108207223,6
111506320,6
107024911,6
109289401,6
107025454,6
107024747,6
101806198,6
102000864,6
121968640,6
104696378,6
107025348,6
113110602,6
107024887,6
102314141,6
114740790,6
101112266,6
101950483,6
122754148,6
119282634,6
107025660,6
107025876,6
109755313,6
121773548,6
115752415,5
116203296,5
122905448,5
109590241,5
115094914,5
111326479,5
101000867,5
108929970,5
119460069,5
101847705,5
122593020,5
114321534,5
104788679,5
101797546,5
111338549,5
109589472,5
121568995,5
101055457,5
101345106,5
122593195,5
122189742,5
101753869,5
108096383,5
107025777,5
102254335,5
122759115,5
102254669,5
114281206,5
101438968,5
120793618,5
116777918,5
108684544,5
109589960,5
122690301,5
122304517,5
101099695,5
107025074,5
120601352,5
122968189,5
105000032,5
107025082,5
101567055,5
111389200,5
114281176,5
107024895,5
122304436,5
101312775,5
122353763,5
121316969,5
107024804,5
101099653,5
112957792,5
101655025,5
107024820,5
119446475,5
107025298,5
101916161,4
101798452,4
111326509,4
122881646,4
119454289,4
122693963,4
108045061,4
115156626,4
102718005,4
108258758,4
120585853,4
120105028,4
111997928,4
119460060,4
108661706,4
101916153,4
112957741,4
122304444,4
109589456,4
119460036,4
122759034,4
119282642,4
104658816,4
119454370,4
121425116,4
120697489,4
108235405,4
122304495,4
102126310,4
122759050,4
109459102,4
119256943,4
111998019,4
120103816,4
107025413,4
101950368,4
107025231,4
112957699,4
107025637,4
101005627,4
101236008,4
122968219,4
118662352,4
101609939,4
122791256,4
123028920,4
116432299,4
107025619,4
107025355,4
109289689,4
120105168,4
109590314,4
122759139,4
119459887,4
115030355,4
122759093,4
119454478,4
101609865,4
119459828,4
122117067,4
122593187,4
120603282,4
109590403,4
119459917,4
119459925,4
119459933,4
101476570,4
101798320,4
101912657,4
104125524,4
120399545,4
122922609,4
121306799,4
103633216,4
116524270,3
110522389,3
101865400,3
119282316,3
119454397,3
109329109,3
121317194,3
123060832,3
105102625,3
109289614,3
122759018,3
115752784,3
101705109,3
122759026,3
105297817,3
109458696,3
122759123,3
122759131,3
110522446,3
101203545,3
111386074,3
120231652,3
101856209,3
101029643,3
108017084,3
101791679,3
122069550,3
109589545,3
140463795,3
102330465,3
119454281,3
101014652,3
109317987,3
123055375,3
101112324,3
122302131,3
101746006,3
107024861,3
117555552,3
101105898,3
101763951,3
119459809,3
140463753,3
121837597,3
104278379,3
111345076,3
119459852,3
102162880,3
109288774,3
122756319,3
121415900,3
115396473,3
109460755,3
101609907,3
111479429,3
118071222,3
115094922,3
116738589,3
119459899,3
122892222,3
119558702,3
119550256,3
103502774,3
122905489,3
113140633,3
105502674,3
116777985,3
112957669,3
109289099,3
119006297,3
119454427,3
109531822,3
119454379,3
122304673,3
113002099,3
123069287,3
118732938,3
109788619,3
107012658,3
110522411,3
102222759,3
101441350,3
116306303,3
103884545,3
101030088,3
